Date,Close/Last,Volume,Open,High,Low,Rise/Fall
2023-05-22,337.64,43015950,336.25,338.67,336.24,1
2023-05-19,336.51,61554930,337.49,338.205,335.43,0
2023-05-18,337.27,64213470,331.52,337.49,331.5,1
2023-05-17,331.12,47486120,328.24,331.71,327.04,1
2023-05-16,327.16,40019150,326.06,328.9025,326.02,1
2023-05-15,326.79,33375560,325.51,327.03,323.96,1
2023-05-12,325.03,48432840,326.74,327.17,322.94,0
2023-05-11,326.2,44278550,325.7,326.75,324.12,1
2023-05-10,325.14,60446620,324.12,326.01,321.6,1
2023-05-09,321.64,31768800,322.0,322.88,321.32,0
2023-05-08,323.69,36465800,322.42,324.04,321.315,1
2023-05-05,322.89,51806100,318.47,323.76,316.2116,1
2023-05-04,316.17,50224520,317.06,318.23,315.115,0
2023-05-03,317.29,59882070,319.75,322.47,317.18,0
2023-05-02,319.38,56519410,322.12,322.45,317.61,0
2023-05-01,322.19,41013390,322.09,323.63,321.09,1
2023-04-28,322.56,59712640,320.11,322.65,318.96,1
2023-04-27,320.35,65430390,315.7,320.86,315.05,1
2023-04-26,311.87,55400500,313.44,314.935,311.34,0
2023-04-25,309.99,57121640,314.29,314.97,309.89,0
2023-04-24,315.95,44043060,316.38,317.7391,313.74,0
2023-04-21,316.61,59002290,315.91,317.4,314.1,1
2023-04-20,316.28,62462140,315.69,319.27,314.97,1
2023-04-19,318.71,38960130,316.41,319.79,316.28,1
2023-04-18,318.86,46746940,320.99,321.42,317.64,0
2023-04-17,318.84,43007020,318.15,319.1999,316.04,1
2023-04-14,318.57,56278280,317.59,320.36,315.61,1
2023-04-13,319.17,54613790,314.83,319.65,313.63,1
2023-04-12,313.04,62813310,317.82,318.42,312.565,0
2023-04-11,315.83,40113590,317.83,317.89,315.31,0
2023-04-10,317.87,45134740,315.07,317.92,313.25,1
2023-04-06,318.05,46916500,314.24,318.55,312.82,1
2023-04-05,315.92,62795710,318.1,319.06,314.07,0
2023-04-04,319.07,45875380,320.6,321.63,317.8251,0
2023-04-03,320.15,47126840,318.77,320.42,317.4201,1
2023-03-31,320.93,62138100,315.91,321.17,315.6,1
2023-03-30,315.68,58354810,315.24,316.32,312.8088,1
2023-03-29,312.72,53274270,310.88,313.35,310.05,1
2023-03-28,307.12,48585920,308.17,308.2,304.774,0
2023-03-27,308.76,50287410,311.6,312.7,307.89,0
2023-03-24,310.89,57245800,309.32,310.99,306.95,1
2023-03-23,309.75,74575980,309.92,314.15,307.01,0
2023-03-22,306.12,75791910,310.27,315.25,305.95,0
2023-03-21,310.34,49757050,307.94,310.8,306.395,1
2023-03-20,305.97,56359490,304.26,306.3,302.01,1
2023-03-17,305.36,89923730,306.72,309.15,303.37,0
2023-03-16,306.81,98556820,298.0,307.18,297.19,1
